orgId,nameOfficial,divisionRoman,conferenceId,conferenceName,webSiteUrl,athleticWebUrl
30123,Academy of Art University,II,19591,Pacific West Conference,www.academyart.edu,www.artuathletics.com
929,Adams State University,II,13128,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com
3,Adelphi University,II,899,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com
10,University of Alabama in Huntsville,II,858,Gulf South Conference,uah.edu,uahchargers.com
11,University of Alaska Anchorage,II,30012,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com
12,University of Alaska Fairbanks,II,30012,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com
13,Albany State University (Georgia),II,913,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com
30240,Allen University,II,913,Southern Intercol. Ath. Conf.,allenuniversity.edu,auyellowjackets.com
22,American International College,II,899,Northeast-10 Conference,aic.edu,aicyellowjackets.com
13028,Anderson University (South Carolina),II,12850,South Atlantic Conference,www.andersonuniversity.edu,www.autrojans.com
25,Angelo State University,II,868,Lone Star Conference,www.angelo.edu,www.angelosports.com
947,Arkansas Tech University,II,30144,Great American Conference,www.atu.edu,www.arkansastechsports.com/
30105,"University of Arkansas, Fort Smith",II,883,Mid-America Intercollegiate Athletics Association,www.uafs.edu/Home/Index,www.uafortsmithlions.com
8411,"University of Arkansas, Monticello",II,30144,Great American Conference,www.uamont.edu,www.uamsports.com
35,Ashland University,II,30182,Great Midwest Athletic Conference,www.ashland.edu,www.goashlandeagles.com
36,Assumption University,II,899,Northeast-10 Conference,www.assumption.edu,www.assumptiongreyhounds.com
30093,Auburn University at Montgomery,II,858,Gulf South Conference,www.aum.edu,www.aumathletics.com
39,Augusta University,II,12923,Peach Belt Conference,www.augusta.edu,www.augustajags.com
41,Augustana University (South Dakota),II,12853,Northern Sun Intercollegiate Conference,www.augie.edu,www.goaugie.com
30146,Azusa Pacific University,II,19591,Pacific West Conference,www.apu.edu,athletics.apu.edu
49,Barry University,II,919,Sunshine State Conference,www.barry.edu,Www.GoBarryBucs.com
15646,Barton College,II,4423,Conference Carolinas,www.barton.edu,www.bartonbulldogs.com
2683,Belmont Abbey College,II,4423,Conference Carolinas,www.bac.edu,www.abbeyathletics.com
54,Bemidji State University,II,12853,Northern Sun Intercollegiate Conference,https://www.bemidjistate.edu/,https://www.bsubeavers.com/
55,Benedict College,II,913,Southern Intercol. Ath. Conf.,www.benedict.edu,benedicttigers.com
56,Bentley University,II,899,Northeast-10 Conference,www.bentley.edu,www.bentley.edu/athletics
30220,Biola University,II,19591,Pacific West Conference,www.biola.edu,athletics.biola.edu
30134,Black Hills State University,II,13128,Rocky Mountain Athletic Conference,www.bhsu.edu,bhsuathletics.com/
984,Bloomfield College,II,28752,Central Atlantic Collegiate Conference,www.bloomfield.edu,www.bcbearsathletics.com
65,Bloomsburg University of Pennsylvania,II,906,Pennsylvania State Athletic Conference,www.bloomu.edu,www.buhuskies.com
985,Bluefield State University,II,832,Central Intercollegiate Athletic Association,bluefieldstate.edu,gobstate.com
70,Bowie State University,II,832,Central Intercollegiate Athletic Association,www.bowiestate.edu,www.bsubulldogs.com
74,University of Bridgeport,II,28752,Central Atlantic Collegiate Conference,www.bridgeport.edu,www.ubknights.com
91,"California State Polytechnic University, Pomona",II,828,California Collegiate Athletic Association,www.cpp.edu,www.broncoathletics.com
995,Caldwell University,II,28752,Central Atlantic Collegiate Conference,www.caldwell.edu/,www.caldwellathletics.com
30055,"California State University, Monterey Bay",II,828,California Collegiate Athletic Association,www.csumb.edu,www.otterathletics.com
95,"California State University, Chico",II,828,California Collegiate Athletic Association,www.csuchico.edu,www.chicowildcats.com
92,"California State University, Dominguez Hills",II,828,California Collegiate Athletic Association,www.csudh.edu,www.gotoros.com
98,"California State University, East Bay",II,828,California Collegiate Athletic Association,www.csueastbay.edu,www.eastbaypioneers.com
93,"California State University, San Bernardino",II,828,California Collegiate Athletic Association,www.csusb.edu,www.csusbathletics.com
103,"California State University, Stanislaus",II,828,California Collegiate Athletic Association,www.csustan.edu,www.warriorathletics.com
100,"California State University, Los Angeles",II,828,California Collegiate Athletic Association,www.calstatela.edu,www.lagoldeneagles.com
291,"California State Polytechnic University, Humboldt",II,828,California Collegiate Athletic Association,www.humboldt.edu,humboldtathletics.com
30198,"California State University, San Marcos",II,828,California Collegiate Athletic Association,www.csusm.edu,csusmcougars.com
106,"Pennsylvania Western University, California",II,906,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com
30266,"University of California, Merced",II,828,California Collegiate Athletic Association,www.ucmerced.edu,www.ucmercedbobcats.com
996,Cameron University,II,868,Lone Star Conference,www.cameron.edu,cameronaggies.com
1000,Carson-Newman University,II,12850,South Atlantic Conference,www.cn.edu,cneagles.com
1001,Catawba College,II,12850,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com
30124,Cedarville University,II,30182,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu
130,University of Central Missouri,II,883,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com
1009,University of Central Oklahoma,II,883,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com
30049,Central State University,II,913,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com
1010,Central Washington University,II,30012,Great Northwest Athletic Conference,cwu.edu,wildcatsports.com
1012,Chadron State College,II,13128,Rocky Mountain Athletic Conference,www.csc.edu,www.chadroneagles.com
133,Chaminade University,II,19591,Pacific West Conference,www.chaminade.edu,goswords.com/
1013,University of Charleston (West Virginia),II,30183,Mountain East Conference,www.ucwv.edu,www.ucgoldeneagles.com
21323,Chestnut Hill College,II,28752,Central Atlantic Collegiate Conference,www.chc.edu,www.griffinathletics.com
8875,Chowan University,II,4423,Conference Carolinas,www.chowan.edu,www.gocuhawks.com
1015,Christian Brothers University,II,858,Gulf South Conference,www.cbu.edu,www.cbubucs.com
30058,Claflin University,II,832,Central Intercollegiate Athletic Association,www.claflin.edu,athletics.claflin.edu
143,"Pennsylvania Western University, Clarion",II,906,Pennsylvania State Athletic Conference,www.clarion.edu,www.clariongoldeneagles.com
144,Clark Atlanta University,II,913,Southern Intercol. Ath. Conf.,www.cau.edu,www.clarkatlantasports.com
20576,Clayton State University,II,12923,Peach Belt Conference,www.clayton.edu,www.claytonstatesports.com
1023,Coker University,II,12850,South Atlantic Conference,www.coker.edu,www.cokercobras.com/
11403,Colorado Christian University,II,13128,Rocky Mountain Athletic Conference,www.ccu.edu,www.ccucougars.com
11416,Colorado Mesa University,II,13128,Rocky Mountain Athletic Conference,coloradomesa.edu,cmumavericks.com
155,Colorado School of Mines,II,13128,Rocky Mountain Athletic Conference,mines.edu,minesathletics.com
2720,Colorado State University Pueblo,II,13128,Rocky Mountain Athletic Conference,www.csupueblo.edu,www.gothunderwolves.com
9754,"University of Colorado, Colorado Springs",II,13128,Rocky Mountain Athletic Conference,www.uccs.edu,www.gomountainlions.com
159,Columbus State University,II,12923,Peach Belt Conference,www.columbusstate.edu,csucougars.com
1028,Concord University,II,30183,Mountain East Conference,www.concord.edu,www.cumountainlions.com
30199,Concordia University Irvine,II,19591,Pacific West Conference,www.cui.edu,www.cuigoldeneagles.com
9081,"Concordia University, St. Paul",II,12853,Northern Sun Intercollegiate Conference,www.csp.edu,cspbears.com/index.aspx
8935,Converse University,II,4423,Conference Carolinas,www.converse.edu,govalkyries.com
1059,D'Youville University,II,11265,East Coast Conference,www.dyc.edu,athletics.dyc.edu
30174,Daemen University,II,11265,East Coast Conference,www.daemen.edu,daemenwildcats.com/
1045,Dallas Baptist University,II,868,Lone Star Conference,www.dbu.edu,www.dbupatriots.com
30221,Davenport University,II,854,Great Lakes Intercollegiate Athletic Conference,www.davenport.edu/,dupanthers.com
174,Davis & Elkins College,II,30183,Mountain East Conference,www.dewv.edu,www.senatornation.com
181,Delta State University,II,858,Gulf South Conference,www.deltastate.edu,www.gostatesmen.com
186,University of the District of Columbia,II,11265,East Coast Conference,www.udc.edu,www.udcfirebirds.com
30118,Dominican University of California,II,19591,Pacific West Conference,www.dominican.edu,www.dominicanathletics.com
8956,Dominican University New York,II,28752,Central Atlantic Collegiate Conference,www.duny.edu,www.chargerathletics.com
1057,Drury University,II,855,Great Lakes Valley Conference,www.drury.edu,www.drurypanthers.com/
8965,East Central University,II,30144,Great American Conference,www.ecok.edu,ecutigers.com
197,East Stroudsburg University of Pennsylvania,II,906,Pennsylvania State Athletic Conference,www.esu.edu,esuwarriors.com
206,Eastern New Mexico University,II,868,Lone Star Conference,www.enmu.edu,www.goeasternathletics.com
208,Eckerd College,II,919,Sunshine State Conference,www.eckerd.edu/,www.eckerdtritons.com
209,"Pennsylvania Western University, Edinboro",II,906,Pennsylvania State Athletic Conference,www.edinboro.edu,www.gofightingscots.com
30244,Edward Waters University,II,913,Southern Intercol. Ath. Conf.,www.ewu.edu,www.ewutigerpride.com
210,Elizabeth City State University,II,832,Central Intercollegiate Athletic Association,www.ecsu.edu,www.ecsuvikings.com
9680,Embry-Riddle Aeronautical University (Florida),II,919,Sunshine State Conference,www.erau.edu,www.erauathletics.com
30193,Emmanuel University (Georgia),II,4423,Conference Carolinas,www.ec.edu,www.goeclions.com
216,Emory & Henry University,II,12850,South Atlantic Conference,www.emoryhenry.edu,www.gowasps.com
1071,Emporia State University,II,883,Mid-America Intercollegiate Athletics Association,www.emporia.edu,www.esuhornets.com
1072,Erskine College,II,4423,Conference Carolinas,www.erskine.edu,www.erskinesports.com
1076,Fairmont State University,II,30183,Mountain East Conference,www.fairmontstate.edu,www.fightingfalcons.com
223,Fayetteville State University,II,832,Central Intercollegiate Athletic Association,www.uncfsu.edu,fsubroncos.com
23157,Felician University,II,28752,Central Atlantic Collegiate Conference,www.felician.edu,www.felicianathletics.com
224,Ferris State University,II,854,Great Lakes Intercollegiate Athletic Conference,www.ferris.edu,www.ferrisstatebulldogs.com
1079,University of Findlay,II,30182,Great Midwest Athletic Conference,www.findlay.edu,findlayoilers.com
30092,Flagler College,II,12923,Peach Belt Conference,www.flagler.edu,www.flaglerathletics.com/
230,Florida Institute of Technology,II,919,Sunshine State Conference,www.fit.edu/,floridatechsports.com/
233,Florida Southern College,II,919,Sunshine State Conference,www.flsouthern.edu,www.fscmocs.com
9011,Fort Hays State University,II,883,Mid-America Intercollegiate Athletics Association,www.fhsu.edu,www.fhsuathletics.com
1083,Fort Lewis College,II,13128,Rocky Mountain Athletic Conference,www.fortlewis.edu,www.goskyhawks.com
237,Fort Valley State University,II,913,Southern Intercol. Ath. Conf.,www.fvsu.edu,fvsusports.com/index.aspx
1085,Francis Marion University,II,4423,Conference Carolinas,www.fmarion.edu,www.fmupatriots.com
241,Franklin Pierce University,II,899,Northeast-10 Conference,www.franklinpierce.edu,www.fpuravens.com/landing/index
30147,Fresno Pacific University,II,19591,Pacific West Conference,www.fresno.edu,fpuathletics.com/
243,Frostburg State University,II,30183,Mountain East Conference,www.frostburg.edu/,www.frostburgsports.com
246,Gannon University,II,906,Pennsylvania State Athletic Conference,www.gannon.edu,www.gannonsports.com
1096,Georgia College,II,12923,Peach Belt Conference,www.gcsu.edu,www.gcbobcats.com
1097,Georgia Southwestern State University,II,12923,Peach Belt Conference,www.gsw.edu,www.gswcanes.com
9004,Georgian Court University,II,28752,Central Atlantic Collegiate Conference,www.georgian.edu,www.gculions.com
1098,Glenville State University,II,30183,Mountain East Conference,www.glenville.edu,www.gscpioneers.com
8366,Goldey-Beacom College,II,28752,Central Atlantic Collegiate Conference,www.gbc.edu,www.gbcathletics.com
262,Grand Valley State University,II,854,Great Lakes Intercollegiate Athletic Conference,www.gvsu.edu,gvsulakers.com
1116,Harding University,II,30144,Great American Conference,www.harding.edu,www.hardingsports.com
2697,University of Hawaii at Hilo,II,19591,Pacific West Conference,www.uhh.hawaii.edu,hiloathletics.com
2696,Hawaii Pacific University,II,19591,Pacific West Conference,www.hpu.edu,www.hpusharks.com/
1123,Henderson State University,II,30144,Great American Conference,hsu.edu,hsusports.com
280,Hillsdale College,II,30182,Great Midwest Athletic Conference,www.hillsdale.edu,www.hillsdalechargers.com
1126,Holy Family University,II,28752,Central Atlantic Collegiate Conference,www.holyfamily.edu,athletics.holyfamily.edu
30050,University of Illinois Springfield,II,855,Great Lakes Valley Conference,www.uis.edu,www.uisprairiestars.com
307,Indiana University of Pennsylvania,II,906,Pennsylvania State Athletic Conference,iup.edu,iupathletics.com
309,University of Indianapolis,II,855,Great Lakes Valley Conference,www.uindy.edu,uindyathletics.com
30267,University of Jamestown,II,12853,Northern Sun Intercollegiate Conference,uj.edu,jimmiepride.com
30262,Jessup University ,II,19591,Pacific West Conference,jessup.edu,jessupathletics.com
323,Johnson C. Smith University,II,832,Central Intercollegiate Athletic Association,www.jcsu.edu,www.goldenbullsports.com
332,Kentucky State University,II,913,Southern Intercol. Ath. Conf.,www.kysu.edu/,ksuthorobreds.com
333,Kentucky Wesleyan College,II,30182,Great Midwest Athletic Conference,https://kwc.edu/,https://kwcpanthers.com/
30051,King University,II,4423,Conference Carolinas,www.king.edu/,www.kingtornado.com/
339,Kutztown University of Pennsylvania,II,906,Pennsylvania State Athletic Conference,www.kutztown.edu,www.kubears.com
2746,Lake Erie College,II,30182,Great Midwest Athletic Conference,www.lec.edu,www.lakeeriestorm.com
345,Lake Superior State University,II,854,Great Lakes Intercollegiate Athletic Conference,lssu.edu,lssulakers.com
1167,Lander University,II,12923,Peach Belt Conference,www.lander.edu/,www.landerbearcats.com
347,Lane College,II,913,Southern Intercol. Ath. Conf.,www.lanecollege.edu,www.golcdragons.com/
349,Le Moyne College,II,846,Northeast Conference,www.lemoyne.edu/,www.lemoynedolphins.com
30013,Lee University,II,858,Gulf South Conference,www.leeuniversity.edu/,www.leeuflames.com
13302,Lees-McRae College,II,4423,Conference Carolinas,www.lmc.edu,lmcbobcats.com
350,LeMoyne-Owen College,II,913,Southern Intercol. Ath. Conf.,www.loc.edu,athletics.loc.edu/
1170,Lenoir-Rhyne University,II,12850,South Atlantic Conference,www.LR.edu,www.lrbears.com
354,Lewis University,II,855,Great Lakes Valley Conference,www.lewisu.edu,www.lewisflyers.com
1174,Limestone University,II,12850,South Atlantic Conference,www.limestone.edu/,golimestonesaints.com/
1176,Lincoln Memorial University,II,12850,South Atlantic Conference,www.lmunet.edu/,www.lmurailsplitters.com
356,Lincoln University (Missouri),II,855,Great Lakes Valley Conference,www.lincolnu.edu/,www.lubluetigers.com
357,Lincoln University (Pennsylvania),II,832,Central Intercollegiate Athletic Association,www.lincoln.edu,www.lulions.com
30136,Lindenwood University,II,902,Ohio Valley Conference,www.lindenwood.edu,lindenwoodlions.com
359,Livingstone College,II,832,Central Intercollegiate Athletic Association,www.livingstone.edu/,https://bluebearathletics.com/
360,Lock Haven University of Pennsylvania,II,906,Pennsylvania State Athletic Conference,www.lockhaven.edu,www.golhu.com
30177,Lubbock Christian University,II,868,Lone Star Conference,www.lcu.edu,www.lcuchaps.com
20794,Lynn University,II,919,Sunshine State Conference,www.lynn.edu,www.lynnfightingknights.com
30137,Malone University,II,30182,Great Midwest Athletic Conference,www.malone.edu,www.malonepioneers.com
384,Mansfield University of Pennsylvania,II,906,Pennsylvania State Athletic Conference,www.mansfield.edu,www.gomounties.com
